Country,Year,Rank,Total,'C1: Security Apparatus','C2: Factionalized Elites','C3: Group Grievance','E1: Economy','E2: Economic Inequality','E3: Human Flight and Brain Drain','P1: State Legitimacy','P2: Public Services','P3: Human Rights','S1: Demographic Pressures','S2: Refugees and IDPs','X1: External Intervention','L1: Literacy rate adult','A1: Exports and imports','A2: Foreign direct investment net inflows','R1: Life expectancy at birth','R2: Life expectancy Index','U1: Unemployment total',Outlier,ExtremeValue
'Guinea Bissau',2010,22nd,Alert,8.9,8.9,5.8,8.3,8.4,7.1,9.1,8.8,8.1,8.5,6.8,8.5,31.1,94.1,1.9,82.9,0.968,5.6,no,yes
Guyana,2010,102nd,Warning,6.6,5.1,6.2,6.9,7.7,8,6.8,5.3,5.2,6.1,3.6,5.5,83.25,49.3,1.6,74.5,0.838,13.5,no,no
Haiti,2010,11th,Alert,8.2,8.4,7.3,9.2,8.3,8.6,9.3,9.5,8.3,9.3,5.6,9.6,83.25,46.7,2,81.8,0.951,8.6,no,no
Honduras,2010,76th,Warning,7,6.8,5,7.5,8.3,6.5,7.5,6.9,6.3,7.6,4.1,6.5,83.25,73.5,1,69.2,0.757,8.5,no,no
Hungary,2010,141st,Stable,2.2,5,3.2,5.4,5.9,4.8,5.7,3.6,3.3,3.3,3.1,4.6,98.3,52.3,0.5,80.2,0.926,5.1,no,yes
Iceland,2010,165th,Sustainable,1.1,2,1,7.2,2.3,3,2,1.5,1.9,0.8,1.1,5.9,83.25,80.9,1.4,81.5,0.946,12.5,no,no
India,2010,79th,Warning,7.6,6.2,7.8,5.1,8.7,6.5,5.8,7.2,6.1,8.1,5.2,4.9,83.25,28.6,0.1,82,0.953,5.8,no,no
Indonesia,2010,61st,Warning,7.3,7.1,6.3,6.7,7.9,7.3,6.9,6.7,6.5,7.2,6.5,6.7,83.25,116.9,6.4,74,0.831,9.7,no,no
Iran,2010,32nd,Alert,8.9,9.5,8.1,5.5,7.3,7.1,9,5.9,9.4,6.4,8.3,6.8,83.25,74.1,5,83,0.969,3.7,no,no
Iraq,2010,7th,Alert,9.5,9.6,9.3,7.6,8.8,9.3,9,8.4,9.1,8.5,8.7,9.5,83.25,54.2,0.4,73.4,0.822,3.7,no,no
Ireland,2010,173rd,Sustainable,1.4,1.5,1,3.3,2.8,2,1.6,2.4,1.5,2,1.6,1.3,83.25,91.5,-4.2,67.4,0.729,1.8,no,no
'Israel and West Bank',2010,54th,Warning,6.5,8.2,9.5,4.4,7.7,3.8,7.3,6.8,7.8,7,7.8,7.8,83.25,95.7,0.9,61,0.63,8.6,no,no
Italy,2010,149th,Stable,4.2,4,4.8,4.7,4.5,2.8,4.5,3.1,3,4,3.9,2.2,83.25,97,1.1,65.8,0.704,0.7,no,no
Jamaica,2010,119th,Warning,5.8,4,4.5,6.8,6.5,6.4,6.8,6.2,5.5,6,2.8,6.1,83.25,133.2,9.9,69.6,0.763,19.5,no,no
Japan,2010,164th,Sustainable,2.1,2.2,3.6,3.5,2.6,2.1,1.8,1.3,3.2,4,1.2,3.7,86.9,84.7,3.9,80.4,0.93,6.5,no,yes
Jordan,2010,90th,Warning,5.9,6.5,6.9,6.2,7.2,4.8,5.9,5.2,7,6.8,7.9,6.7,55.4,108.8,1.8,74.4,0.836,27.2,no,yes
Kazakhstan,2010,103rd,Warning,6.3,7.6,5.7,6.7,6.2,4.1,7.5,5.5,7.1,5.8,4,6.2,83.25,96,11.1,68.8,0.752,2.3,no,no
Kenya,2010,13th,Alert,7.5,8.7,8.9,7.4,8.7,7.9,9.3,8.1,8,9.1,8.7,8.4,94.9,142,0.4,64.3,0.682,17.6,no,yes
Kuwait,2010,125th,Stable,4.9,7.2,5.1,3.8,6.1,4.1,6,3.1,6.5,5.5,4.1,5.1,93.9,132.6,2.3,45.1,0.386,4.3,no,yes
